# Lane-Emden solution for 3D geometry, n=1.5
# xi_1 = 3.6537540101e+00
# dtheta_1 = -2.0331244769e-01
# n_points = 366
# Columns: xi  theta  dtheta/dxi
2.2822822824e+00  3.9228117919e-01  -3.5942749858e-01
2.2922922924e+00  3.8868680032e-01  -3.5872710088e-01
2.3023023024e+00  3.8509950141e-01  -3.5801294738e-01
2.3123123124e+00  3.8151941931e-01  -3.5728520642e-01
2.3223223224e+00  3.7794668920e-01  -3.5654404664e-01
2.3323323324e+00  3.7438144455e-01  -3.5578963701e-01
2.3423423424e+00  3.7082381716e-01  -3.5502214681e-01
2.3523523524e+00  3.6727393714e-01  -3.5424174526e-01
2.3623623624e+00  3.6373193286e-01  -3.5344860209e-01
2.3723723724e+00  3.6019793103e-01  -3.5264288727e-01
2.3823823825e+00  3.5667205662e-01  -3.5182477081e-01
2.3923923925e+00  3.5315443292e-01  -3.5099442275e-01
2.4024024025e+00  3.4964518152e-01  -3.5015201318e-01
2.4124124125e+00  3.4614442230e-01  -3.4929771224e-01
2.4224224225e+00  3.4265227344e-01  -3.4843169010e-01
2.4324324325e+00  3.3916885142e-01  -3.4755411698e-01
2.4424424425e+00  3.3569427101e-01  -3.4666516316e-01
2.4524524525e+00  3.3222864529e-01  -3.4576499893e-01
2.4624624625e+00  3.2877208564e-01  -3.4485379459e-01
2.4724724725e+00  3.2532470173e-01  -3.4393172013e-01
2.4824824826e+00  3.2188660151e-01  -3.4299894580e-01
2.4924924926e+00  3.1845789120e-01  -3.4205564177e-01
2.5025025026e+00  3.1503867535e-01  -3.4110197797e-01
2.5125125126e+00  3.1162905680e-01  -3.4013812415e-01
2.5225225226e+00  3.0822913672e-01  -3.3916424983e-01
2.5325325326e+00  3.0483901456e-01  -3.3818052435e-01
2.5425425426e+00  3.0145878810e-01  -3.3718711683e-01
2.5525525526e+00  2.9808855341e-01  -3.3618419617e-01
2.5625625626e+00  2.9472840489e-01  -3.3517193108e-01
2.5725725726e+00  2.9137843524e-01  -3.3415049006e-01
2.5825825827e+00  2.8803873545e-01  -3.3312004139e-01
2.5925925927e+00  2.8470939490e-01  -3.3208075284e-01
2.6026026027e+00  2.8139050122e-01  -3.3103279205e-01
2.6126126127e+00  2.7808214033e-01  -3.2997632648e-01
2.6226226227e+00  2.7478439651e-01  -3.2891152315e-01
2.6326326327e+00  2.7149735237e-01  -3.2783854865e-01
2.6426426427e+00  2.6822108889e-01  -3.2675756918e-01
2.6526526527e+00  2.6495568537e-01  -3.2566875051e-01
2.6626626627e+00  2.6170121947e-01  -3.2457225800e-01
2.6726726727e+00  2.5845776719e-01  -3.2346825658e-01
2.6826826828e+00  2.5522540290e-01  -3.2235691080e-01
2.6926926928e+00  2.5200419929e-01  -3.2123838475e-01
2.7027027028e+00  2.4879422741e-01  -3.2011284213e-01
2.7127127128e+00  2.4559555668e-01  -3.1898044617e-01
2.7227227228e+00  2.4240825495e-01  -3.1784135944e-01
2.7327327328e+00  2.3923238833e-01  -3.1669574425e-01
2.7427427428e+00  2.3606802130e-01  -3.1554376236e-01
2.7527527528e+00  2.3291521676e-01  -3.1438557502e-01
2.7627627628e+00  2.2977403601e-01  -3.1322134285e-01
2.7727727728e+00  2.2664453877e-01  -3.1205122594e-01
2.7827827829e+00  2.2352678317e-01  -3.1087538378e-01
2.7927927929e+00  2.2042082575e-01  -3.0969397531e-01
2.8028028029e+00  2.1732672145e-01  -3.0850715889e-01
2.8128128129e+00  2.1424452363e-01  -3.0731509230e-01
2.8228228229e+00  2.1117428407e-01  -3.0611793277e-01
2.8328328329e+00  2.0811605296e-01  -3.0491583695e-01
2.8428428429e+00  2.0506987890e-01  -3.0370896088e-01
2.8528528529e+00  2.0203580906e-01  -3.0249745991e-01
2.8628628629e+00  1.9901388890e-01  -3.0128148884e-01
2.8728728729e+00  1.9600416233e-01  -3.0006120189e-01
2.8828828830e+00  1.9300667173e-01  -2.9883675259e-01
2.8928928930e+00  1.9002145801e-01  -2.9760829383e-01
2.9029029030e+00  1.8704856053e-01  -2.9637597783e-01
2.9129129130e+00  1.8408801718e-01  -2.9513995616e-01
2.9229229230e+00  1.8113986433e-01  -2.9390037973e-01
2.9329329330e+00  1.7820413682e-01  -2.9265739881e-01
2.9429429430e+00  1.7528086802e-01  -2.9141116298e-01
2.9529529530e+00  1.7237008977e-01  -2.9016182120e-01
2.9629629630e+00  1.6947183241e-01  -2.8890952174e-01
2.9729729730e+00  1.6658612476e-01  -2.8765441223e-01
2.9829829831e+00  1.6371299431e-01  -2.8639663967e-01
2.9929929931e+00  1.6085246696e-01  -2.8513635032e-01
3.0030030031e+00  1.5800456709e-01  -2.8387368978e-01
3.0130130131e+00  1.5516931768e-01  -2.8260880300e-01
3.0230230231e+00  1.5234674026e-01  -2.8134183426e-01
3.0330330331e+00  1.4953685496e-01  -2.8007292722e-01
