x,p,rho,vx
0.23118647935201367,0.33969653376187636,0.2565890683839194,0.4040852993595759
0.23339782626279185,0.348345690381149,0.26053601953852046,0.3964081502151955
0.23558833248300584,0.35415855102315846,0.2631918004972301,0.39190732159857455
0.237764690016855,0.35718148760173496,0.26462885118595475,0.3905146406618873
0.23993444172648418,0.3579049772069494,0.26499424443453135,0.3917126704110246
0.24210276751533227,0.3566909800274391,0.2644582165869543,0.39467067005839274
0.24427484553000745,0.35363944225998184,0.26306073559124193,0.3985520971854254
0.24645899233739824,0.3488706519780845,0.2609775975456208,0.4028369867907775
0.24865662250671894,0.342682823770466,0.2582588348912474,0.4074281838073717
0.2508788116300343,0.33552392100920475,0.25520333527658134,0.4124672710133086
0.25311779018545805,0.32803855910259244,0.2517659303767097,0.4182138186802279
0.25538829683872044,0.3203570766496633,0.24795810713768074,0.4243435494691107
0.2576805489921445,0.31198675588981917,0.24360810226866264,0.4297468244386002
0.26001966630465334,0.3029026799985207,0.23892699548370044,0.4339351507646548
0.262398770515291,0.29438783866465573,0.23499333009283255,0.43871185999013806
0.26480557985240527,0.28718130153681937,0.23202048167205216,0.4459409369737257
0.2672246123438466,0.2797443955059731,0.22946266275211794,0.4541678405810888
0.26965113742656965,0.27064589574905396,0.22584407270630386,0.4583061769639924
0.27213376405615636,0.258187460061053,0.220162897374268,0.46117090889609397
0.2746883127046156,0.24435568286817738,0.21377799520772012,0.46136144094585513
0.2773202533101767,0.23137671863846287,0.20603272804591172,0.4628453790818102
0.28005881473327493,0.21677587436270934,0.19538917994223864,0.463608749884131
0.28296470402869095,0.1948737087731087,0.1805194832478192,0.44701874603724384
0.2862598590247979,0.16369769508069967,0.16107315210558662,0.40419365211455804
0.29018969974425296,0.13130087764197576,0.14081134493566907,0.3385844924176738
0.2948148126625948,0.1046128101119368,0.12272334014390825,0.2768144618362768
0.30018309719993214,0.08254797469971688,0.10794547570481594,0.21249798676896223
0.30634451217416625,0.06625903074111031,0.09735090466678993,0.15113408428107647
0.3130629373769789,0.0590426382270836,0.09157779167497326,0.14038146413309238
0.31997228131594024,0.056872146452000484,0.08944593261551492,0.1668013043847007
0.326876916852303,0.056242623109477,0.08841268704180665,0.2043343792142212
0.33379382769446264,0.05505320701890978,0.08698756212658869,0.2348580638304844
0.3408153966631376,0.052920388703276575,0.08485127740874027,0.255573299450727
0.34802232296950825,0.05021577856373735,0.08226107313338646,0.270209716891356
0.3554512679999895,0.047446427569253186,0.07957586322417137,0.2835968375936507
0.3631015902517189,0.044896119897451556,0.07701141260496584,0.2985332855200666
0.3709588856672012,0.04259521582712538,0.0746057796662849,0.3153533392061396
0.3790138501575392,0.04046029208899189,0.0723056584122903,0.3331535449495097
0.3872679975887823,0.03841337532350758,0.07005474341832689,0.35104828164569774
0.3957290743019464,0.03642069207440994,0.06782472751332974,0.36865081945461137
0.40440791492460393,0.03448045861394414,0.06561279491431893,0.3859745295461776
0.41331317166040976,0.032601275433749195,0.0634249903822642,0.403167130613148
0.4224532220827297,0.03078805532475979,0.06126272372335642,0.4203452590481955
0.43183788795404626,0.029039741072750466,0.05913261523326047,0.43755397009159025
0.4414716725601339,0.02735296472364333,0.05702897640622984,0.45479567146342953
0.451370513271422,0.025721537827553622,0.05495811852647198,0.4720642526422738
0.4615341369746507,0.024144463510337208,0.05291210079183969,0.48935661793665297
0.4719833387065758,0.022621417534580596,0.05087568346177088,0.506683365967245
0.4827300714689772,0.021151160209443673,0.04886168577836047,0.5240413562018511
0.49378340096273476,0.019731593977409496,0.04685562476121402,0.5414515423375947
0.5051744204736287,0.018357229449485795,0.04487603061232507,0.5588742388613723
0.5168980935479178,0.0170272681344211,0.04292456106982397,0.576346002183453
0.5289874314522679,0.015742509971399452,0.04098098109589283,0.5939013216840189
0.5414520065027775,0.014505002351022213,0.039030064452063,0.6115599240700164
0.5543467175384236,0.013309483522942521,0.03707298591288244,0.6293739011597373
0.5676610660317674,0.012136068171139991,0.03507595649127815,0.6470476903977534
0.5815565925076696,0.010999463332311572,0.03313371521893368,0.6650510829636344
0.595870901291775,0.00989484114423598,0.03123111712441309,0.6834884547398083
0.6107671327269665,0.008783522092674165,0.029271823162391578,0.7013903512726591
0.626394202851537,0.007674385277330435,0.027417795483694295,0.7202472321705929
0.642389804395868,0.006601628983560224,0.025511208402759483,0.7386848132995125
0.659441717261587,0.0057008449764139905,0.02333271992210487,0.7594303752595986
0.6771754587710966,0.004842104820615751,0.020786197223380782,0.7802336014570428
0.6971685677282039,0.004094856250542984,0.017661607421430824,0.8058103194723681
